id,titulo_original,puesto,empresa,portal,fecha_publicacion,salario_min,salario_max,experiencia_anios,categoria_rol,descripcion,habilidades
1,Data Scientist,Data Scientist,KPMG Panamá,LinkedIn,2026-04-05,2400.0,2800.0,1,Data & Analytics,Gran oportunidad laboral en Ciudad de Panamá. Importante empresa del sector (KPMG Panamá) busca incorporar un Data Scientist con al menos 1 años de experiencia comprobada.,"Excel,PostgreSQL,Python,R"
2,.NET Consultant,.NET Consultant,Tigo Panamá,Computrabajo,2026-03-02,1800.0,3300.0,3,Backend,Buscamos un .NET Consultant dinámico para integrarse a nuestro equipo de tecnología. Trabajarás en el desarrollo y mantenimiento de sistemas críticos para Tigo Panamá en Panamá.,"PostgreSQL,Docker,Spring Boot,SQL,.NET"
3,Backend Developer,Backend Developer,Sonda Panamá,Computrabajo,2026-04-27,1700.0,3100.0,1,Backend,Buscamos un Backend Developer dinámico para integrarse a nuestro equipo de tecnología. Trabajarás en el desarrollo y mantenimiento de sistemas críticos para Sonda Panamá en Panamá.,"PostgreSQL,Python,Docker,Spring Boot,SQL,Node.js"
4,Administrador de Sistemas,Administrador de Sistemas,APEDE,LinkedIn,2026-01-26,900.0,1700.0,1,Soporte & IT,Gran oportunidad laboral en Ciudad de Panamá. Importante empresa del sector (APEDE) busca incorporar un Administrador de Sistemas con al menos 1 años de experiencia comprobada.,"Excel,Cisco,Virtualización,Windows Server"
5,Desarrollador Web Fullstack,Desarrollador Web Fullstack,Panafoto,Konzerta,2026-05-16,2400.0,3200.0,1,Fullstack,"En Panafoto estamos expandiendo nuestro equipo técnico. Requerimos Desarrollador Web Fullstack con sólidos conocimientos en JavaScript, Git, React para liderar la transformación digital de la empresa.","JavaScript,Git,React"
6,DevOps Engineer,DevOps Engineer,APEDE,Konzerta,2026-05-22,2200.0,3400.0,1,DevOps & Cloud,Buscamos un DevOps Engineer dinámico para integrarse a nuestro equipo de tecnología. Trabajarás en el desarrollo y mantenimiento de sistemas críticos para APEDE en Panamá.,"Python,Docker,Git,Terraform,Linux"
7,Administrador Cloud,Administrador Cloud,Felipe Motta,LinkedIn,2026-03-31,1900.0,3600.0,2,DevOps & Cloud,Gran oportunidad laboral en Ciudad de Panamá. Importante empresa del sector (Felipe Motta) busca incorporar un Administrador Cloud con al menos 2 años de experiencia comprobada.,"Docker,Kubernetes,AWS"
8,React Developer,React Developer,Grupo El Machetazo,Konzerta,2026-03-20,1500.0,2600.0,3,Frontend,Gran oportunidad laboral en Ciudad de Panamá. Importante empresa del sector (Grupo El Machetazo) busca incorporar un React Developer con al menos 3 años de experiencia comprobada.,"React,Angular"
9,Desarrollador Web Fullstack,Desarrollador Web Fullstack,Encuentra24 PA,Konzerta,2026-02-19,1900.0,2200.0,1,Fullstack,"En Encuentra24 PA estamos expandiendo nuestro equipo técnico. Requerimos Desarrollador Web Fullstack con sólidos conocimientos en Python, Docker, Git para liderar la transformación digital de la empresa.","Python,Docker,Git"
10,Product Owner,Product Owner,Sonda Panamá,Computrabajo,2026-03-01,2200.0,2600.0,1,Gestión & Agile,"En Sonda Panamá estamos expandiendo nuestro equipo técnico. Requerimos Product Owner con sólidos conocimientos en Jira, Scrum para liderar la transformación digital de la empresa.","Jira,Scrum"
11,iOS App Developer,iOS App Developer,KPMG Panamá,Konzerta,2026-03-26,1600.0,2600.0,3,Mobile,"En KPMG Panamá estamos expandiendo nuestro equipo técnico. Requerimos iOS App Developer con sólidos conocimientos en Flutter, Kotlin, React Native para liderar la transformación digital de la empresa.","Flutter,Kotlin,React Native"
12,Administrador de Sistemas,Administrador de Sistemas,Autoridad del Canal de Panamá (ACP),Computrabajo,2026-04-12,1100.0,1500.0,1,Soporte & IT,"En Autoridad del Canal de Panamá (ACP) estamos expandiendo nuestro equipo técnico. Requerimos Administrador de Sistemas con sólidos conocimientos en Linux, Cisco para liderar la transformación digital de la empresa.","Cisco,Linux"
13,React Developer,React Developer,Copa Airlines,LinkedIn,2026-06-12,1300.0,2300.0,1,Frontend,"En Copa Airlines estamos expandiendo nuestro equipo técnico. Requerimos React Developer con sólidos conocimientos en JavaScript, React, Vue para liderar la transformación digital de la empresa.","JavaScript,React,Vue"
14,UI Developer,UI Developer,Supermercados Riba Smith,Computrabajo,2025-12-17,1500.0,2700.0,1,Frontend,"En Supermercados Riba Smith estamos expandiendo nuestro equipo técnico. Requerimos UI Developer con sólidos conocimientos en React, Vue para liderar la transformación digital de la empresa.","React,Vue"
15,Soporte Técnico IT,Soporte Técnico IT,Cable & Wireless,LinkedIn,2026-01-26,1200.0,1700.0,1,Soporte & IT,"En Cable & Wireless estamos expandiendo nuestro equipo técnico. Requerimos Soporte Técnico IT con sólidos conocimientos en Excel, Virtualización, Windows Server para liderar la transformación digital de la empresa.","Excel,Virtualización,Windows Server"
16,Cloud Infrastructure Specialist,Cloud Infrastructure Specialist,Banco General,Computrabajo,2026-05-18,2300.0,2600.0,3,DevOps & Cloud,"En Banco General estamos expandiendo nuestro equipo técnico. Requerimos Cloud Infrastructure Specialist con sólidos conocimientos en Python, AWS, Kubernetes, Terraform, Linux, Git para liderar la transformación digital de la empresa.","Python,Git,Terraform,Linux,Kubernetes,AWS"
17,Fullstack Engineer,Fullstack Engineer,Tigo Panamá,LinkedIn,2026-03-23,1900.0,2500.0,3,Fullstack,Gran oportunidad laboral en Ciudad de Panamá. Importante empresa del sector (Tigo Panamá) busca incorporar un Fullstack Engineer con al menos 3 años de experiencia comprobada.,"Python,Docker,SQL,Node.js,React"
