habilidad,pendiente,intercepto,porcentaje_actual,porcentaje_predicho_futuro,tendencia
React,2.340190033011916,2.9467767024328158,31.25,31.029057098575805,Emergente / Crecimiento Rápido
Git,1.8820928374609978,17.391375592733063,31.25,39.97648964226504,Emergente / Crecimiento Rápido
JavaScript,1.590843539887143,9.196728568900518,25.0,28.286851047546236,Emergente / Crecimiento Rápido
SQL,1.2102773363571384,5.084633817665492,12.5,19.607961853951153,Emergente / Crecimiento Rápido
Python,0.7359677492853138,24.603451894175876,43.75,33.435064885599644,Emergente / Crecimiento Rápido
Kubernetes,0.7353430597465971,1.605984722500562,18.75,10.430101439459726,Emergente / Crecimiento Rápido
Scrum,0.5381917262316276,7.310927927443765,25.0,13.769228642223297,Emergente / Crecimiento Rápido
.NET,0.5177878648158365,2.635167539013695,6.25,8.848621916803733,Emergente / Crecimiento Rápido
Angular,0.5138874791281205,1.704395822042883,0.0,7.8710455715803285,Emergente / Crecimiento Rápido
React Native,0.4305101178815699,4.998738482901379,0.0,10.164859897480218,Emergente / Crecimiento Rápido
Vue,0.40832807441199037,5.072456033994498,12.5,9.972392926938383,Emergente / Crecimiento Rápido
Swift,0.3943391952441725,0.8516161231093364,0.0,5.583686466039406,Emergente / Crecimiento Rápido
Terraform,0.3147786043199452,3.8858504073436224,18.75,7.663193659182965,Emergente / Crecimiento Rápido
Docker,0.2548273861519439,12.879545458730979,31.25,15.937474092554305,Crecimiento Estable
Agile,0.21367036227176087,10.512315320007627,25.0,13.076359667268758,Crecimiento Estable
Jira,0.16961847741362357,9.124232144594133,25.0,11.159653873557616,Crecimiento Estable
Azure,0.15883009764128642,2.662828624367086,12.5,4.568789796062523,Crecimiento Estable
Linux,0.13497246503211108,11.40027121361963,0.0,13.019940794004963,Crecimiento Estable
C#,0.014473020694740128,4.7801253966412345,0.0,4.953801644978116,Madura / Estable
Kotlin,-0.026073725168747845,3.792194063687276,0.0,3.479309361662302,Madura / Estable
Java,-0.03875543648270922,5.504911754911754,0.0,5.039846517119244,Madura / Estable
Spring Boot,-0.05934835994482232,5.770107636623473,0.0,5.057927317285605,Madura / Estable
PostgreSQL,-0.10753378323308382,7.6421975460436995,0.0,6.351792147246694,Madura / Estable
Flutter,-0.1299508343934506,6.31439952706921,0.0,4.754989514347804,Madura / Estable
R,-0.17681182453909713,5.9530747030747015,0.0,3.831332808605536,Madura / Estable
Tableau,-0.1843169456805819,5.361536611536611,0.0,3.149733263369628,Madura / Estable
Power BI,-0.3377304513668149,5.126817626817626,0.0,1.0740522104158474,En Declive
Cisco,-0.3382374230276327,8.649523553369706,0.0,4.590674477038114,En Declive
Redes,-0.3837313162179472,8.71335908100614,0.0,4.108583286390773,En Declive
AWS,-0.4223678933160626,14.787591116776635,18.75,9.719176396983883,En Declive
Virtualización,-0.5094602881007652,11.048132569625782,0.0,4.9346091124166005,En Declive
Windows Server,-0.6133991813753228,11.556260481599848,0.0,4.1954703050959745,En Declive
Spark,-0.6558151444515078,7.612063862063861,0.0,0.0,En Declive
TypeScript,-0.6661594781195767,9.834330450846286,0.0,1.8404167134113667,En Declive
HTML,-0.8037137459185997,11.334521854883846,0.0,1.6899569038606508,En Declive
CSS,-0.9664298177255805,11.80257232293431,0.0,0.20541451022734414,En Declive
Node.js,-0.9987170492106731,16.1003986795842,6.25,4.115794089056122,En Declive
Excel,-2.2660226331555,36.51337978261055,18.75,9.32110818474455,En Declive
