id,titulo_original,puesto,empresa,portal,fecha_publicacion,salario_min,salario_max,experiencia_anios,categoria_rol,descripcion,habilidades,cluster,pca_x,pca_y,nombre_cluster
1,Data Scientist,Data Scientist,KPMG Panamá,LinkedIn,2026-04-05,2400.0,2800.0,1,Data & Analytics,Gran oportunidad laboral en Ciudad de Panamá. Importante empresa del sector (KPMG Panamá) busca incorporar un Data Scientist con al menos 1 años de experiencia comprobada.,"Excel,PostgreSQL,Python,R",3,0.11165758479072412,0.16801196988104083,Data & Analytics / BI
2,.NET Consultant,.NET Consultant,Tigo Panamá,Computrabajo,2026-03-02,1800.0,3300.0,3,Backend,Buscamos un .NET Consultant dinámico para integrarse a nuestro equipo de tecnología. Trabajarás en el desarrollo y mantenimiento de sistemas críticos para Tigo Panamá en Panamá.,"PostgreSQL,Docker,Spring Boot,SQL,.NET",3,-0.14183782716415888,0.12429080319298234,Data & Analytics / BI
3,Backend Developer,Backend Developer,Sonda Panamá,Computrabajo,2026-04-27,1700.0,3100.0,1,Backend,Buscamos un Backend Developer dinámico para integrarse a nuestro equipo de tecnología. Trabajarás en el desarrollo y mantenimiento de sistemas críticos para Sonda Panamá en Panamá.,"PostgreSQL,Python,Docker,Spring Boot,SQL,Node.js",3,-0.21512295987846955,0.1476796403015486,Data & Analytics / BI
4,Administrador de Sistemas,Administrador de Sistemas,APEDE,LinkedIn,2026-01-26,900.0,1700.0,1,Soporte & IT,Gran oportunidad laboral en Ciudad de Panamá. Importante empresa del sector (APEDE) busca incorporar un Administrador de Sistemas con al menos 1 años de experiencia comprobada.,"Excel,Cisco,Virtualización,Windows Server",2,0.3286037141655476,0.5522120384775758,Backend / Java / Core Systems
5,Desarrollador Web Fullstack,Desarrollador Web Fullstack,Panafoto,Konzerta,2026-05-16,2400.0,3200.0,1,Fullstack,"En Panafoto estamos expandiendo nuestro equipo técnico. Requerimos Desarrollador Web Fullstack con sólidos conocimientos en JavaScript, Git, React para liderar la transformación digital de la empresa.","JavaScript,Git,React",0,-0.39645988443533836,-0.3929376299688466,Frontend / UI Web
6,DevOps Engineer,DevOps Engineer,APEDE,Konzerta,2026-05-22,2200.0,3400.0,1,DevOps & Cloud,Buscamos un DevOps Engineer dinámico para integrarse a nuestro equipo de tecnología. Trabajarás en el desarrollo y mantenimiento de sistemas críticos para APEDE en Panamá.,"Python,Docker,Git,Terraform,Linux",3,-0.2252365093707217,0.24143358817144742,Data & Analytics / BI
7,Administrador Cloud,Administrador Cloud,Felipe Motta,LinkedIn,2026-03-31,1900.0,3600.0,2,DevOps & Cloud,Gran oportunidad laboral en Ciudad de Panamá. Importante empresa del sector (Felipe Motta) busca incorporar un Administrador Cloud con al menos 2 años de experiencia comprobada.,"Docker,Kubernetes,AWS",3,-0.1847801580077726,0.16031976845508653,Data & Analytics / BI
8,React Developer,React Developer,Grupo El Machetazo,Konzerta,2026-03-20,1500.0,2600.0,3,Frontend,Gran oportunidad laboral en Ciudad de Panamá. Importante empresa del sector (Grupo El Machetazo) busca incorporar un React Developer con al menos 3 años de experiencia comprobada.,"React,Angular",0,-0.14718536269486657,-0.18922879517680904,Frontend / UI Web
9,Desarrollador Web Fullstack,Desarrollador Web Fullstack,Encuentra24 PA,Konzerta,2026-02-19,1900.0,2200.0,1,Fullstack,"En Encuentra24 PA estamos expandiendo nuestro equipo técnico. Requerimos Desarrollador Web Fullstack con sólidos conocimientos en Python, Docker, Git para liderar la transformación digital de la empresa.","Python,Docker,Git",3,-0.30967180179387066,0.06610589834483313,Data & Analytics / BI
10,Product Owner,Product Owner,Sonda Panamá,Computrabajo,2026-03-01,2200.0,2600.0,1,Gestión & Agile,"En Sonda Panamá estamos expandiendo nuestro equipo técnico. Requerimos Product Owner con sólidos conocimientos en Jira, Scrum para liderar la transformación digital de la empresa.","Jira,Scrum",1,0.5560478528888855,-0.35140422410362954,Data & Analytics / BI
11,iOS App Developer,iOS App Developer,KPMG Panamá,Konzerta,2026-03-26,1600.0,2600.0,3,Mobile,"En KPMG Panamá estamos expandiendo nuestro equipo técnico. Requerimos iOS App Developer con sólidos conocimientos en Flutter, Kotlin, React Native para liderar la transformación digital de la empresa.","Flutter,Kotlin,React Native",0,-0.162118115123081,-0.23384635122401115,Frontend / UI Web
12,Administrador de Sistemas,Administrador de Sistemas,Autoridad del Canal de Panamá (ACP),Computrabajo,2026-04-12,1100.0,1500.0,1,Soporte & IT,"En Autoridad del Canal de Panamá (ACP) estamos expandiendo nuestro equipo técnico. Requerimos Administrador de Sistemas con sólidos conocimientos en Linux, Cisco para liderar la transformación digital de la empresa.","Cisco,Linux",2,0.0862107199633768,0.4150913627640632,Backend / Java / Core Systems
13,React Developer,React Developer,Copa Airlines,LinkedIn,2026-06-12,1300.0,2300.0,1,Frontend,"En Copa Airlines estamos expandiendo nuestro equipo técnico. Requerimos React Developer con sólidos conocimientos en JavaScript, React, Vue para liderar la transformación digital de la empresa.","JavaScript,React,Vue",0,-0.27421736294178073,-0.360947300839241,Frontend / UI Web
14,UI Developer,UI Developer,Supermercados Riba Smith,Computrabajo,2025-12-17,1500.0,2700.0,1,Frontend,"En Supermercados Riba Smith estamos expandiendo nuestro equipo técnico. Requerimos UI Developer con sólidos conocimientos en React, Vue para liderar la transformación digital de la empresa.","React,Vue",0,-0.1876265442832749,-0.2578673609340427,Frontend / UI Web
15,Soporte Técnico IT,Soporte Técnico IT,Cable & Wireless,LinkedIn,2026-01-26,1200.0,1700.0,1,Soporte & IT,"En Cable & Wireless estamos expandiendo nuestro equipo técnico. Requerimos Soporte Técnico IT con sólidos conocimientos en Excel, Virtualización, Windows Server para liderar la transformación digital de la empresa.","Excel,Virtualización,Windows Server",2,0.33053608444824206,0.4919563940421943,Backend / Java / Core Systems
16,Cloud Infrastructure Specialist,Cloud Infrastructure Specialist,Banco General,Computrabajo,2026-05-18,2300.0,2600.0,3,DevOps & Cloud,"En Banco General estamos expandiendo nuestro equipo técnico. Requerimos Cloud Infrastructure Specialist con sólidos conocimientos en Python, AWS, Kubernetes, Terraform, Linux, Git para liderar la transformación digital de la empresa.","Python,Git,Terraform,Linux,Kubernetes,AWS",3,-0.21817980702965845,0.26211864800990187,Data & Analytics / BI
17,Fullstack Engineer,Fullstack Engineer,Tigo Panamá,LinkedIn,2026-03-23,1900.0,2500.0,3,Fullstack,Gran oportunidad laboral en Ciudad de Panamá. Importante empresa del sector (Tigo Panamá) busca incorporar un Fullstack Engineer con al menos 3 años de experiencia comprobada.,"Python,Docker,SQL,Node.js,React",3,-0.33805841212474824,-0.0012201344798019828,Data & Analytics / BI
18,Administrador de Sistemas,Administrador de Sistemas,GBM Panamá,Konzerta,2026-05-09,900.0,1700.0,3,Soporte & IT,Gran oportunidad laboral en Ciudad de Panamá. Importante empresa del sector (GBM Panamá) busca incorporar un Administrador de Sistemas con al menos 3 años de experiencia comprobada.,"Cisco,Virtualización,Linux",2,0.1321692856232723,0.49472336660756305,Backend / Java / Core Systems
19,Product Owner,Product Owner,Felipe Motta,Konzerta,2026-01-08,2300.0,4000.0,1,Gestión & Agile,Gran oportunidad laboral en Ciudad de Panamá. Importante empresa del sector (Felipe Motta) busca incorporar un Product Owner con al menos 1 años de experiencia comprobada.,"Excel,Jira,Scrum,Agile",1,0.8036662922095256,-0.37041131488922135,Data & Analytics / BI
20,Cloud Infrastructure Specialist,Cloud Infrastructure Specialist,GBM Panamá,Konzerta,2026-01-08,1900.0,2800.0,3,DevOps & Cloud,Gran oportunidad laboral en Ciudad de Panamá. Importante empresa del sector (GBM Panamá) busca incorporar un Cloud Infrastructure Specialist con al menos 3 años de experiencia comprobada.,"Python,AWS",3,-0.21049161407569342,0.16542264308524765,Data & Analytics / BI
21,Scrum Master,Scrum Master,Cable & Wireless,Konzerta,2026-03-08,2500.0,3300.0,2,Gestión & Agile,Gran oportunidad laboral en Ciudad de Panamá. Importante empresa del sector (Cable & Wireless) busca incorporar un Scrum Master con al menos 2 años de experiencia comprobada.,"Jira,Scrum,Agile",1,0.6977039969861318,-0.42794249651128724,Data & Analytics / BI
