id,titulo_original,puesto,empresa,portal,fecha_publicacion,salario_min,salario_max,experiencia_anios,categoria_rol,descripcion,habilidades,cluster,pca_x,pca_y,nombre_cluster
1,Técnico en refrigeración,Técnico en refrigeración,CAPITAL HUMANO ESPECIALIZADO,Computrabajo,2026-06-15,1500.0,2500.0,1,Backend,CAPITAL HUMANO ESPECIALIZADO,"Excel,SQL",0,0.4884013762263683,0.07948238064068402,Frontend / UI Web
2,Técnico en línea blanca,Técnico en línea blanca,CAPITAL HUMANO ESPECIALIZADO,Computrabajo,2026-06-15,1500.0,2500.0,3,Backend,CAPITAL HUMANO ESPECIALIZADO,"Excel,SQL",0,0.4884013762263683,0.07948238064068412,Frontend / UI Web
3,Tecnico Motorizado Chofer Servicio de Baterias a Domicilio,Tecnico Motorizado Chofer Servicio de Baterias a Domicilio,Battery Giant Panamá,Computrabajo,2026-06-15,1500.0,2500.0,2,Backend,Battery Giant Panamá,"Excel,SQL",0,0.4884013762263705,0.07948238064068561,Frontend / UI Web
4,Soporte Técnico,Soporte Técnico IT,TX PANAMA,Computrabajo,2026-06-15,1500.0,2500.0,3,Soporte & IT,TX PANAMA,"Excel,SQL",0,0.48840137622636953,0.07948238064068516,Frontend / UI Web
5,Técnico Sistema Especiales,Técnico Sistema Especiales,Agv consulting,Computrabajo,2026-06-15,1500.0,2500.0,2,Soporte & IT,Agv consulting,"Excel,SQL",0,0.4884013762263696,0.07948238064068557,Frontend / UI Web
6,Técnico en Panadería,Técnico en Panadería,PROWORK GROUP PANAMÁ,Computrabajo,2026-06-15,1500.0,2500.0,2,Soporte & IT,PROWORK GROUP PANAMÁ,"Excel,SQL",0,0.4884013762263687,0.07948238064068443,Frontend / UI Web
7,Agente de servicio técnico,Agente de servicio técnico,Importante empresa del sector,Computrabajo,2026-06-15,1500.0,2500.0,2,Soporte & IT,Importante empresa del sector,"Excel,SQL",0,0.4884013762263697,0.07948238064068527,Frontend / UI Web
8,Técnico en línea blanca,Técnico en línea blanca,CAPITAL HUMANO ESPECIALIZADO,Computrabajo,2026-06-15,1500.0,2500.0,3,Backend,CAPITAL HUMANO ESPECIALIZADO,"Excel,SQL",0,0.4884013762263687,0.0794823806406847,Frontend / UI Web
9,Técnico en refrigeración,Técnico en refrigeración,CAPITAL HUMANO ESPECIALIZADO,Computrabajo,2026-06-15,1500.0,2500.0,3,Backend,CAPITAL HUMANO ESPECIALIZADO,"Excel,SQL",0,0.4884013762263701,0.07948238064068497,Frontend / UI Web
10,Técnico en Elevadores,Técnico en Elevadores,Importante empresa del sector,Computrabajo,2026-06-15,1500.0,2500.0,2,Soporte & IT,Importante empresa del sector,"Excel,SQL",0,0.4884013762263696,0.0794823806406835,Frontend / UI Web
11,Lider Tecnico,Lider Tecnico,"Smart Business Solutions,S.A",Computrabajo,2026-06-15,1500.0,2500.0,1,Backend,"Smart Business Solutions,S.A","Excel,SQL",0,0.4884013762263699,0.07948238064068475,Frontend / UI Web
12,Técnico Senior de Mantenimiento // Sistemas Hidraulico,Técnico Senior de Mantenimiento // Sistemas Hidraulico,"MTS ADMINISTRACIÓN TOTAL, S.A.",Computrabajo,2026-06-15,1500.0,2500.0,2,Soporte & IT,"MTS ADMINISTRACIÓN TOTAL, S.A.","Excel,SQL",0,0.4884013762263701,0.07948238064068469,Frontend / UI Web
13,Coordinador de Servicio técnico,Coordinador de Servicio técnico,YCA Consultora,Computrabajo,2026-06-15,1500.0,2500.0,1,Soporte & IT,YCA Consultora,"Excel,SQL",0,0.4884013762263698,0.07948238064068494,Frontend / UI Web
14,Asistente IT,Asistente IT,Pak,Computrabajo,2026-06-15,1500.0,2500.0,3,Backend,Pak-Al,"Excel,SQL",0,0.48840137622637,0.07948238064068495,Frontend / UI Web
15,Soporte Tecnico,Soporte Técnico IT,Componentes El Orbe,Computrabajo,2026-06-15,1500.0,2500.0,1,Soporte & IT,Componentes El Orbe,"Excel,SQL",0,0.4884013762263696,0.07948238064068487,Frontend / UI Web
16,Técnico de Mantenimiento,Técnico de Mantenimiento,WYNWOOD,Computrabajo,2026-06-15,1500.0,2500.0,1,Soporte & IT,WYNWOOD,"Excel,SQL",0,0.4884013762263698,0.07948238064068505,Frontend / UI Web
17,Técnico en Alimentos,Técnico en Alimentos,PROWORK GROUP PANAMÁ,Computrabajo,2026-06-15,1500.0,2500.0,2,Soporte & IT,PROWORK GROUP PANAMÁ,"Excel,SQL",0,0.4884013762263697,0.07948238064068483,Frontend / UI Web
18,Ingeniero industrial,Ingeniero industrial,Telecomunication Strategy Corp.,Computrabajo,2026-06-15,1500.0,2500.0,3,Backend,Telecomunication Strategy Corp.,"Excel,SQL",0,0.4884013762263699,0.07948238064068498,Frontend / UI Web
19,Auditor de IT,Auditor de IT,Empresa Internacional de Servicios Contables,Computrabajo,2026-06-15,1500.0,2500.0,2,Mobile,Empresa Internacional de Servicios Contables,"Excel,SQL",0,0.48840137622637,0.07948238064068477,Frontend / UI Web
20,Técnico de Mantenimiento,Técnico de Mantenimiento,GCP Inversiones y Nuevos Negocios S.A.,Computrabajo,2026-06-15,1500.0,2500.0,1,Mobile,GCP Inversiones y Nuevos Negocios S.A.,"Excel,SQL",0,0.4884013762263698,0.07948238064068483,Frontend / UI Web
21,Finance Assistant (m/w/d) in Teilzeit,Finance Assistant (m/w/d) in Teilzeit,Therapium Group GmbH,Arbeitnow (Remoto/Intl),2026-06-15,1500.0,2500.0,3,Frontend,"Wir suchen ab dem 01.08.2026 eine engagierte Finanzbuchhalterin (m/w/d) in Teilzeit für unser Backoffice in Berlin-Wedding. Über THERAPIUM THERAPIUM ist eine wachsende Physiotherapie-Gruppe in Berlin mit aktuell sechs Standorten und über 60 Mitarbeitenden. Was als einzelne Praxis begann, entwickelt sich zu einer der ambitioniertesten Praxisgruppen der Stadt, mit dem Anspruch, Physiotherapie unternehmerisch weiterzudenken, ohne den therapeutischen Kern zu verlieren. Wir wachsen, professionalisieren unsere Strukturen und bauen gerade das Team auf, das dieses Wachstum trägt. Deine Rolle Du unterstützt die Geschäftsführung im operativen Finanz- und Verwaltungsbereich. Du bist die zentrale Schnittstelle zwischen unseren Praxisstandorten, der Geschäftsführung und dem externen Steuerbüro — und sorgst dafür, dass unsere Finanzbuchhaltung sauber vorbereitet, vollständig und termingerecht übergeben wird. Deine Aufgaben 1) Vorbereitende Finanzbuchhaltung Prüfung und Verwaltung aller Eingangs- und Ausgangsrechnungen Überwachung von Zahlungsein- und -ausgängen, Kontobewegungen und Lastschriften über alle Standorte hinweg Prüfung, Zuordnung und strukturierte Ablage aller Belege, Kontoauszüge und Quittungen (digital und physisch) Kontrolle der Kassenunterlagen und Monatsabrechnungen Sicherstellung der Vollständigkeit aller Buchhaltungsunterlagen und Nachforderung fehlender Belege bei den Standorten Vorbereitung und Upload der Unterlagen in ETL/PISA für das Steuerbüro 2) Kosten- und Forderungsmanagement Überwachung offener Forderungen und Ausfallgebühren Abstimmung mit den Praxisleitungen zu Zahlungen und Abrechnungen Unterstützung bei internen Finanz- und Kostenkontrollen 3) Administration & Organisation Kommunikation mit Steuerbüro, Dienstleistern und internen Ansprechpartnern Fristenkontrolle und Terminüberwachung für finanzrelevante Vorgänge Pflege des digitalen und physischen Archivs unter Einhaltung gesetzlicher Aufbewahrungsfristen 4) Zahlungsmanagement & Intercompany-Abrechnung Vorbereitung und Durchführung von Überweisungen für sämtliche Praxisstandorte Erstellung der internen Kostenverrechnungen innerhalb der THERAPIUM Group Vorbereitung und Durchführung der monatlichen Gehaltszahlungen in Abstimmung mit dem Steuerbüro und der Geschäftsführung Überwachung der Liquidität und Kontrolle aller Zahlungsvorgänge Was du mitbringst Erfahrung in der vorbereitenden Buchhaltung (idealerweise in einem Umfeld mit mehreren Standorten oder Gesellschaften) Strukturierte, sorgfältige Arbeitsweise : Du hast ein Auge für Vollständigkeit und Ordnung. Sicherer Umgang mit digitalen Tools (ETL/PISA, DATEV oder vergleichbare Buchhaltungssysteme; gutes Excel-Niveau) Eigenständigkeit : Du wartest nicht auf Anweisungen, sondern siehst, was zu tun ist. Diskretion und Zuverlässigkeit : Du arbeitest mit sensiblen Finanzdaten. Branchenerfahrung im Gesundheitswesen ist ein Plus, aber kein Muss. Was wir bieten Gestaltungsrolle statt Sachbearbeitungsjob : Du baust Strukturen mit auf, statt nur abzuarbeiten. Flexibilität : Die genauer Arbeitszeit (zwischen20–30 h/Woche) wird in Abstimmung mit dir festgelegt. Kurze Wege : Ein direkter Draht zur Geschäftsführung führt zu schnellen Entscheidungen. Entwicklungsperspektive : Mit unserem Wachstum wächst auch deine Rolle (Richtung Controlling, Finanzplanung). Ein Team, das gerade entsteht : Du kannst mitprägen, wie unser Backoffice funktioniert. Arbeitsort: Berlin-Wedding Find Jobs in Germany on Arbeitnow",Excel,0,0.2479419076125532,-0.016291665069815383,Frontend / UI Web
